pk_teuna_fikt,SEMEL_YISHUV,HODESH_TEUNA,SUG_DEREH,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,PNE_KVISH,X,Y,lat,lon
2023001160,0,6,not urban not junction,non holiday,day,Friday,light,dry,269848.0,762862.0,32.95958425550159,35.74340409395727
2023001184,0,11,not urban junction,non holiday,day,Friday,light,dry,193341.0,674867.0,32.16696788581568,34.92756916436948
2023001197,6200,9,urban junction,non holiday,day,Monday,fatal,dry,175832.0,658011.0,32.014423702550864,34.74270983196726
2023001255,7900,9,urban junction,non holiday,night,Thursday,light,dry,190940.0,665512.0,32.08254818924161,34.90239231272998
2023001258,6200,5,urban junction,holiday,day,Friday,severe,unknown,175777.0,659141.0,32.02461166560821,34.74207654593814
2023001265,5000,12,urban junction,non holiday,night,Sunday,light,dry,184323.0,668576.0,32.10999218660992,34.83219332248061
2023001270,3000,3,urban not junction,non holiday,day,Sunday,light,dry,218982.0,632223.0,31.782701444386248,35.19943291112342
2023001273,0,1,not urban not junction,non holiday,day,Wednesday,light,dry,196053.0,675103.0,32.169155721087236,34.95631547557336
2023001277,1200,10,urban not junction,non holiday,day,Wednesday,light,dry,200850.0,643657.0,31.885665105281866,35.00778040424955
2023001293,0,1,not urban junction,non holiday,day,Thursday,light,dry,252029.0,763948.0,32.97005314011743,35.552863768327626
2023001296,0,4,not urban not junction,non holiday,day,Monday,fatal,dry,195771.0,660548.0,32.03789485446445,34.95368454954563
2023001299,8400,11,urban not junction,non holiday,night,Sunday,light,unknown,179578.0,644894.0,31.896273843374114,34.782898034765275
2023001335,103,2,urban not junction,non holiday,night,Sunday,light,wet from water,228692.0,729107.0,32.65634169814028,35.30288679324966
2023001341,1167,12,urban not junction,non holiday,night,Thursday,severe,unknown,191618.0,712327.0,32.50472197902941,34.9082041563032
2023001355,0,12,not urban not junction,non holiday,day,Wednesday,light,dry,228441.0,760492.0,32.93934043489902,35.30051527306982
2023001378,8700,8,urban junction,non holiday,night,Sunday,light,dry,189451.0,676806.0,32.18435626234772,34.886267543603346
2023001395,2002,4,urban not junction,non holiday,day,Sunday,light,dry,196684.0,690228.0,32.305561018203825,34.96264445450494
